id,time,symbol,action,price,stop_loss,take_profit,atr,rsi,strategy,status,reason,ml_confidence,ml_threshold,ticket,feat_return_1,feat_return_2,feat_return_3,feat_return_5,feat_return_10,feat_return_20,feat_sma_10,feat_close_vs_sma_10,feat_sma_20,feat_close_vs_sma_20,feat_sma_50,feat_close_vs_sma_50,feat_sma_100,feat_close_vs_sma_100,feat_sma_200,feat_close_vs_sma_200,feat_ema_12,feat_ema_26,feat_ema_50,feat_sma_10_50_diff,feat_sma_20_100_diff,feat_sma_50_200_diff,feat_ema_12_26_diff,feat_rsi_7,feat_rsi_14,feat_rsi_21,feat_macd_line,feat_macd_signal,feat_macd_hist,feat_roc_5,feat_roc_10,feat_roc_20,feat_atr_7,feat_atr_7_pct,feat_atr_14,feat_atr_14_pct,feat_atr_28,feat_atr_28_pct,feat_bb_width,feat_bb_position,feat_volatility_10,feat_volatility_20,feat_candle_body_ratio,feat_candle_direction,feat_upper_shadow_ratio,feat_lower_shadow_ratio,feat_consecutive_direction,feat_price_position_10,feat_price_position_20,feat_price_position_50,feat_dist_from_high_20,feat_dist_from_low_20,feat_volume_ratio,feat_volume_change,feat_hour,feat_day_of_week,feat_session_london,feat_session_ny,feat_session_asia,feat_hour_sin,feat_hour_cos,feat_dow_sin,feat_dow_cos,feat_rsi_14_lag1,feat_macd_hist_lag1,feat_return_1_lag1,feat_rsi_14_lag2,feat_macd_hist_lag2,feat_return_1_lag2,feat_rsi_14_lag3,feat_macd_hist_lag3,feat_return_1_lag3,feat_rsi_14_change,feat_macd_hist_change
1,2026-03-17 19:02:02.706562,USDCHF,BUY,0.78482,0.78425,0.78577,0.00047,50.0,macd_crossover,RISK_REJECTED,AutoTrading disabled by client,,,,0.0,0.000102,0.000191,-3.8e-05,-0.00014,-0.002009,0.784856,-4.6e-05,0.78533,-0.00065,0.786331,-0.001922,0.787222,-0.003051,0.788283,-0.004393,0.784994,0.785498,0.786158,-0.001876,-0.002402,-0.002476,-0.000642,38.129609,36.599886,37.816281,-0.000504,-0.000516,1.2e-05,-0.003822,-0.014014,-0.200916,0.000376,0.000479,0.000474,0.000604,0.000523,0.000666,0.00315,0.293623,0.015432,0.029548,0.090909,1.0,0.727273,0.181818,4.0,0.465347,0.185039,0.095335,-0.002638,0.000599,0.084575,-0.870775,21.0,1.0,0.0,0.0,0.0,-0.707107,0.707107,0.951057,0.309017,36.599886,-8e-06,0.000102,34.908479,-3.1e-05,8.9e-05,33.466286,-5e-05,0.000229,0.0,2e-05
2,2026-03-17 19:32:02.740861,GBPUSD,SELL,1.33572,1.33663,1.3342,0.00076,50.0,macd_crossover,RISK_REJECTED,AutoTrading disabled by client,,,,-5.2e-05,-0.000217,9e-05,-5.2e-05,0.000697,0.000165,1.335695,1.9e-05,1.335065,0.000491,1.333844,0.001406,1.332387,0.002502,1.329348,0.004793,1.335508,1.334899,1.333957,0.001387,0.00201,0.003382,0.000456,57.922754,60.053365,59.755383,0.000609,0.000624,-1.5e-05,-0.00524,0.069674,0.016473,0.00059,0.000442,0.00076,0.000569,0.000863,0.000646,0.002188,0.724213,0.02135,0.021311,0.538462,-1.0,0.384615,0.076923,-2.0,0.645,0.772436,0.906085,-0.000532,0.001804,0.064762,-0.836576,21.0,1.0,0.0,0.0,0.0,-0.707107,0.707107,0.951057,0.309017,60.975629,8e-06,-0.000165,63.836695,2.9e-05,0.000307,60.640785,2.7e-05,-0.000127,-0.922263,-2.3e-05
3,2026-03-17 21:02:03.030577,USDCHF,BUY,0.78425,0.78382,0.7849,0.00043,34.8,rsi_reversal,RISK_REJECTED,AutoTrading disabled by client,,,,0.000217,-0.000688,-0.001019,-0.001095,-0.000624,-0.001998,0.784736,-0.000619,0.784815,-0.00072,0.785837,-0.002019,0.787036,-0.00354,0.788084,-0.004865,0.784723,0.785121,0.785758,-0.001401,-0.002822,-0.002852,-0.000506,32.264196,34.795259,36.433909,-0.000398,-0.00041,1.2e-05,-0.109539,-0.062441,-0.199791,0.000383,0.000488,0.000431,0.000549,0.000485,0.000618,0.001421,-0.006732,0.028053,0.026826,0.692308,1.0,0.0,0.307692,1.0,0.211382,0.136842,0.071038,-0.002091,0.000332,0.011769,-0.982332,23.0,1.0,0.0,0.0,0.0,-0.258819,0.965926,0.951057,0.309017,31.121037,3.2e-05,-0.000905,39.823712,8.4e-05,-0.000331,44.008416,9.3e-05,0.00014,3.674223,-1.9e-05
4,2026-03-17 21:02:03.525486,USDCHF,BUY,0.78425,0.78382,0.7849,0.00043,34.8,bollinger_bounce,RISK_REJECTED,AutoTrading disabled by client,,,,0.000217,-0.000688,-0.001019,-0.001095,-0.000624,-0.001998,0.784736,-0.000619,0.784815,-0.00072,0.785837,-0.002019,0.787036,-0.00354,0.788084,-0.004865,0.784723,0.785121,0.785758,-0.001401,-0.002822,-0.002852,-0.000506,32.264196,34.795259,36.433909,-0.000398,-0.00041,1.2e-05,-0.109539,-0.062441,-0.199791,0.000383,0.000488,0.000431,0.000549,0.000485,0.000618,0.001421,-0.006732,0.028053,0.026826,0.692308,1.0,0.0,0.307692,1.0,0.211382,0.136842,0.071038,-0.002091,0.000332,0.011769,-0.982332,23.0,1.0,0.0,0.0,0.0,-0.258819,0.965926,0.951057,0.309017,31.121037,3.2e-05,-0.000905,39.823712,8.4e-05,-0.000331,44.008416,9.3e-05,0.00014,3.674223,-1.9e-05
5,2026-03-17 21:14:28.897078,USDJPY,SELL,158.974,159.05931,158.83182,0.07109,50.0,macd_crossover,RISK_REJECTED,Unsupported filling mode,,,,0.000189,-0.000189,-0.000434,-0.000421,-0.000264,-0.000371,159.0145,-0.000255,158.9887,-9.2e-05,159.01044,-0.000229,159.12917,-0.000975,159.23444,-0.001636,158.998446,159.002564,159.034029,2.6e-05,-0.000883,-0.001407,-2.6e-05,43.362834,46.572918,46.688568,-0.004118,-0.003574,-0.000544,-0.042128,-0.026412,-0.037099,0.060135,0.000378,0.071089,0.000447,0.080961,0.000509,0.001029,0.410185,0.015536,0.020745,0.422535,1.0,0.577465,0.0,1.0,0.254098,0.513369,0.511156,-0.000572,0.000604,0.144828,-0.845528,23.0,1.0,0.0,0.0,0.0,-0.258819,0.965926,0.951057,0.309017,42.868567,0.00148,-0.000377,49.204337,0.007689,-0.000245,54.023503,0.010899,9.4e-05,3.704352,-0.002024
6,2026-03-17 21:14:29.376081,AUDUSD,BUY,0.70954,0.70895,0.71043,0.00059,41.1,bollinger_bounce,RISK_REJECTED,Unsupported filling mode,,,,-0.000634,-0.001365,-0.001126,-0.001239,-0.001421,-0.000535,0.710266,-0.001022,0.710463,-0.001299,0.709831,-0.00041,0.708404,0.001603,0.705616,0.005561,0.710245,0.710181,0.709674,0.000613,0.002906,0.005973,9e-05,25.432781,41.097608,47.201403,6.4e-05,0.000212,-0.000148,-0.12387,-0.142143,-0.053527,0.000546,0.00077,0.000593,0.000835,0.00068,0.000959,0.002125,-0.111258,0.024561,0.032728,0.333333,-1.0,0.231884,0.434783,-2.0,0.337079,0.23166,0.474654,-0.002805,0.000846,0.107741,-0.694352,23.0,1.0,0.0,0.0,0.0,-0.258819,0.965926,0.951057,0.309017,46.651947,-0.000108,-0.000732,54.564831,-8.5e-05,0.000239,52.098359,-9.8e-05,-0.000141,-5.554339,-4e-05
7,2026-03-17 21:14:29.980293,USDCHF,BUY,0.78425,0.78378,0.78495,0.00047,34.8,rsi_reversal,RISK_REJECTED,Unsupported filling mode,,,,0.000217,-0.000688,-0.001019,-0.001095,-0.000624,-0.001998,0.784736,-0.000619,0.784815,-0.00072,0.785837,-0.002019,0.787036,-0.00354,0.788084,-0.004865,0.784723,0.785121,0.785758,-0.001401,-0.002822,-0.002852,-0.000506,32.264196,34.795259,36.433909,-0.000398,-0.00041,1.2e-05,-0.109539,-0.062441,-0.199791,0.000456,0.000581,0.000467,0.000596,0.000503,0.000641,0.001421,-0.006732,0.028053,0.026826,0.233766,1.0,0.662338,0.103896,1.0,0.211382,0.136842,0.071038,-0.002091,0.000332,0.500574,-0.229682,23.0,1.0,0.0,0.0,0.0,-0.258819,0.965926,0.951057,0.309017,31.121037,3.2e-05,-0.000905,39.823712,8.4e-05,-0.000331,44.008416,9.3e-05,0.00014,3.674223,-1.9e-05
8,2026-03-17 21:14:30.612141,USDCHF,BUY,0.78425,0.78378,0.78495,0.00047,34.8,bollinger_bounce,RISK_REJECTED,Unsupported filling mode,,,,0.000217,-0.000688,-0.001019,-0.001095,-0.000624,-0.001998,0.784736,-0.000619,0.784815,-0.00072,0.785837,-0.002019,0.787036,-0.00354,0.788084,-0.004865,0.784723,0.785121,0.785758,-0.001401,-0.002822,-0.002852,-0.000506,32.264196,34.795259,36.433909,-0.000398,-0.00041,1.2e-05,-0.109539,-0.062441,-0.199791,0.000456,0.000581,0.000467,0.000596,0.000503,0.000641,0.001421,-0.006732,0.028053,0.026826,0.233766,1.0,0.662338,0.103896,1.0,0.211382,0.136842,0.071038,-0.002091,0.000332,0.500574,-0.229682,23.0,1.0,0.0,0.0,0.0,-0.258819,0.965926,0.951057,0.309017,31.121037,3.2e-05,-0.000905,39.823712,8.4e-05,-0.000331,44.008416,9.3e-05,0.00014,3.674223,-1.9e-05
9,2026-03-17 22:32:02.907433,AUDUSD,BUY,0.71078,0.71012,0.71189,0.00055,50.0,macd_crossover,RISK_REJECTED,Unsupported filling mode,,,,-4.2e-05,-7e-05,0.001141,0.000774,0.000479,-0.000141,0.710309,0.000663,0.710449,0.000467,0.710057,0.001018,0.70861,0.003063,0.705928,0.006873,0.710426,0.710294,0.709844,0.000355,0.002595,0.005849,0.000185,61.775702,56.990614,56.195291,0.000131,0.000117,1.4e-05,0.07744,0.047858,-0.014067,0.000487,0.000685,0.000553,0.000777,0.000644,0.000907,0.002311,0.70194,0.047433,0.039541,0.272727,1.0,0.545455,0.181818,1.0,0.963351,0.710425,0.747573,-0.001055,0.002589,0.290917,-0.34434,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.587785,-0.809017,57.438431,-8e-06,-2.8e-05,57.719195,-4.7e-05,0.001211,47.465874,-0.000109,-0.000127,-0.447817,2.2e-05
10,2026-03-17 22:47:03.261696,XAUUSD,SELL,4996.9,5005.06316,4983.29473,6.80263,50.0,macd_crossover,EXECUTED,,,,55782969792.0,0.000114,-0.001002,-0.001145,-0.001357,-0.00058,-0.001024,5001.702,-0.00096,5002.1055,-0.001041,5005.3098,-0.00168,5011.671,-0.002947,5010.2859,-0.002672,5001.138303,5002.795199,5005.556353,-0.000721,-0.001909,-0.000993,-0.000331,33.832917,42.089733,44.30417,-1.656896,-1.432417,-0.224479,-0.1357,-0.058002,-0.102359,5.487933,0.001098,6.802633,0.001361,8.105073,0.001622,0.002162,0.01872,0.04204,0.042864,0.181319,1.0,0.016484,0.802198,1.0,0.27433,0.227302,0.403624,-0.002436,0.000716,0.096642,-0.734069,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.587785,-0.809017,41.273011,0.018386,-0.001116,47.342377,0.482384,-0.000144,48.191481,0.634266,-0.000647,0.816722,-0.242865
