id,ticket,symbol,action,open_price,close_price,open_time,close_time,pnl,pnl_pips,exit_reason,profitable,ml_confidence,strategy,volume,swap,commission,slippage_pips,trade_duration_minutes,max_favorable_pips,max_adverse_pips,risk_reward_planned,risk_reward_actual,h1_trend,h4_trend,volatility_regime,spread_at_entry,atr_at_entry,rsi_at_entry,news_nearby,news_event_name,news_impact,engine_version,strategy_version,detected_regime,data_group,feat_return_1,feat_return_2,feat_return_3,feat_return_5,feat_return_10,feat_return_20,feat_sma_10,feat_close_vs_sma_10,feat_sma_20,feat_close_vs_sma_20,feat_sma_50,feat_close_vs_sma_50,feat_sma_100,feat_close_vs_sma_100,feat_sma_200,feat_close_vs_sma_200,feat_ema_12,feat_ema_26,feat_ema_50,feat_sma_10_50_diff,feat_sma_20_100_diff,feat_sma_50_200_diff,feat_ema_12_26_diff,feat_rsi_7,feat_rsi_14,feat_rsi_21,feat_macd_line,feat_macd_signal,feat_macd_hist,feat_roc_5,feat_roc_10,feat_roc_20,feat_atr_7,feat_atr_7_pct,feat_atr_14,feat_atr_14_pct,feat_atr_28,feat_atr_28_pct,feat_bb_width,feat_bb_position,feat_volatility_10,feat_volatility_20,feat_candle_body_ratio,feat_candle_direction,feat_upper_shadow_ratio,feat_lower_shadow_ratio,feat_consecutive_direction,feat_price_position_10,feat_price_position_20,feat_price_position_50,feat_dist_from_high_20,feat_dist_from_low_20,feat_volume_ratio,feat_volume_change,feat_hour,feat_day_of_week,feat_session_london,feat_session_ny,feat_session_asia,feat_hour_sin,feat_hour_cos,feat_dow_sin,feat_dow_cos,feat_rsi_14_lag1,feat_macd_hist_lag1,feat_return_1_lag1,feat_rsi_14_lag2,feat_macd_hist_lag2,feat_return_1_lag2,feat_rsi_14_lag3,feat_macd_hist_lag3,feat_return_1_lag3,feat_rsi_14_change,feat_macd_hist_change,feat_rsi_14_dist_50,feat_rsi_7_dist_50,feat_atr_ratio_20,feat_spread_vs_atr,feat_price_vs_high_20_atr,feat_price_vs_low_20_atr,feat_macd_hist_vs_atr,feat_body_vs_atr
1,55782969792,XAUUSD,SELL,4996.9,5005.06,2026-03-18 01:47:03.152305,2026-03-18 05:03:48.000000,-8.14,-816.0,SL_HIT,0,,macd_crossover,0.01,0.0,0.0,,196,,,1.67,-1.0,,,,,6.80263,50.0,0,,,,,TRENDING_BEAR,OLD,0.000114,-0.001002,-0.001145,-0.001357,-0.00058,-0.001024,5001.702,-0.00096,5002.1055,-0.001041,5005.3098,-0.00168,5011.671,-0.002947,5010.2859,-0.002672,5001.138303,5002.795199,5005.556353,-0.000721,-0.001909,-0.000993,-0.000331,33.832917,42.089733,44.30417,-1.656896,-1.432417,-0.224479,-0.1357,-0.058002,-0.102359,5.487933,0.001098,6.802633,0.001361,8.105073,0.001622,0.002162,0.01872,0.04204,0.042864,0.181319,1.0,0.016484,0.802198,1.0,0.27433,0.227302,0.403624,-0.002436,0.000716,0.096642,-0.734069,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.587785,-0.809017,41.273011,0.018386,-0.001116,47.342377,0.482384,-0.000144,48.191481,0.634266,-0.000647,0.816722,-0.242865,,,,,,,,
2,55783162381,XAUUSD,SELL,4999.47,5006.28,2026-03-18 02:17:03.313552,2026-03-18 05:04:12.000000,-6.8100000000000005,-681.0,SL_HIT,0,,sma_crossover,0.01,0.0,0.0,,167,,,2.19,-1.0,,,,,5.4339,46.34,0,,,,,TRENDING_BEAR,OLD,7.6e-05,-8.2e-05,0.000632,-0.000628,-0.000148,-0.000652,5001.649,-0.000432,5001.881,-0.000478,5004.8444,-0.00107,5011.3766,-0.002372,5009.8725,-0.002072,5000.951129,5002.488132,5005.184173,-0.000638,-0.001895,-0.001004,-0.000307,43.821015,45.699537,46.340936,-1.537003,-1.435306,-0.101697,-0.062767,-0.014799,-0.065164,5.433904,0.001087,6.646876,0.00133,7.948125,0.00159,0.002088,0.271086,0.044158,0.044595,0.258503,1.0,0.741497,0.0,1.0,0.472797,0.391746,0.448318,-0.001916,0.001234,0.07317,-0.876511,1.0,2.0,0.0,0.0,1.0,0.258819,0.965926,0.587785,-0.809017,45.165809,-0.101312,-0.000158,46.039393,-0.033026,0.000715,41.273011,0.018386,-0.001116,0.533727,-0.000385,,,,,,,,
3,55783674032,XAUUSD,SELL,5009.83,5000.71,2026-03-18 03:17:03.630722,2026-03-18 05:36:12.000000,9.12,912.0,TP_HIT,1,,bollinger_bounce,0.01,0.0,0.0,,139,,,1.4,1.4,,,,,6.24594,58.99,0,,,,,TRENDING_BEAR,OLD,3.2e-05,0.001433,0.001561,0.002194,0.000841,0.001233,5002.519,0.001511,5002.6535,0.001485,5005.2158,0.000972,5011.4309,-0.00027,5009.17295,0.000181,5003.912284,5003.609034,5005.392306,-0.000539,-0.001751,-0.00079,6.1e-05,72.477698,58.994124,54.290693,0.30325,-0.836516,1.139766,0.219439,0.084101,0.123304,5.276625,0.001053,6.245936,0.001247,7.559618,0.001509,0.002636,1.063108,0.054092,0.042388,0.057762,1.0,0.65343,0.288809,5.0,0.8835,0.8835,0.631061,-0.000441,0.003345,0.150767,-0.907591,2.0,2.0,0.0,0.0,1.0,0.5,0.866025,0.587785,-0.809017,58.822711,0.820982,0.001401,50.38502,0.276315,0.000128,49.507885,0.117257,0.000428,0.171413,0.318784,,,,,,,,
4,55783080632,XAUUSD,BUY,5001.73,5015.45,2026-03-18 02:02:03.978007,2026-03-18 06:10:02.000000,13.72,1372.0,TP_HIT,1,,macd_crossover,0.01,0.0,0.0,,247,,,1.61,1.61,,,,,6.94938,50.0,0,,,,,TRENDING_BEAR,OLD,0.00033,0.001045,-7.2e-05,-0.000863,-7e-05,-0.000358,5001.967,-8.3e-05,5002.166,-0.000123,5005.1138,-0.000712,5011.5481,-0.001995,5010.0967,-0.001706,5001.592174,5002.908724,5005.512275,-0.000629,-0.001872,-0.000995,-0.000263,49.60277,48.13461,47.775416,-1.31655,-1.370953,0.054403,-0.086299,-0.006997,-0.035776,5.903127,0.00118,6.949383,0.001389,8.140198,0.001628,0.001971,0.437512,0.045591,0.044975,0.616197,1.0,0.288732,0.09507,2.0,0.630651,0.52254,0.483865,-0.001504,0.001645,0.111915,-0.797599,1.0,2.0,0.0,0.0,1.0,0.258819,0.965926,0.587785,-0.809017,46.039393,-0.033026,0.000715,41.273011,0.018386,-0.001116,47.342377,0.482384,-0.000144,2.095217,0.087429,,,,,,,,
5,55783254314,XAUUSD,BUY,5002.62,5015.32,2026-03-18 02:32:03.204168,2026-03-18 06:10:02.000000,12.7,1270.0,TP_HIT,1,,macd_crossover,0.01,0.0,0.0,,217,,,1.59,1.59,,,,,6.46368,50.0,0,,,,,TRENDING_BEAR,OLD,0.000452,0.000656,0.000498,9.6e-05,-0.000266,0.00094,5001.58,0.000162,5002.148,4.8e-05,5004.824,-0.000486,5011.3182,-0.001782,5009.6666,-0.001453,5001.255808,5002.524759,5005.098712,-0.000648,-0.00183,-0.000967,-0.000254,53.990353,49.662823,48.603799,-1.268951,-1.393867,0.124915,0.009596,-0.02658,0.094043,5.231102,0.001046,6.463681,0.001292,7.811266,0.001562,0.001908,0.525356,0.042198,0.041619,0.70625,1.0,0.21875,0.075,2.0,0.721559,0.575873,0.498361,-0.001335,0.001813,0.136262,-0.754902,1.0,2.0,0.0,0.0,1.0,0.258819,0.965926,0.587785,-0.809017,46.575339,-0.060853,0.000204,45.165809,-0.101312,-0.000158,46.039393,-0.033026,0.000715,3.087484,0.185769,,,,,,,,
6,55784353675,XAUUSD,SELL,5012.96,5002.31,2026-03-18 04:17:03.817541,2026-03-18 06:37:33.000000,10.65,1065.0,TP_HIT,1,,bollinger_bounce,0.01,0.0,0.0,,140,,,1.51,1.51,,,,,7.07674,60.51,0,,,,,TRENDING_BEAR,OLD,0.000297,0.001731,0.001749,0.000601,0.002606,0.002626,5004.995,0.001585,5003.4985,0.001885,5005.2376,0.001537,5011.4928,0.000287,5008.9378,0.000797,5005.768993,5004.515213,5005.589366,-4.8e-05,-0.001595,-0.000739,0.000251,70.338791,60.509985,55.9314,1.253781,-0.059046,1.312827,0.060081,0.260605,0.262611,7.115136,0.001419,7.076737,0.001412,7.834599,0.001563,0.00325,1.080045,0.062402,0.054378,0.452096,1.0,0.532934,0.01497,4.0,0.841252,0.873497,0.680242,-0.000567,0.003912,0.276619,-0.897026,3.0,2.0,0.0,0.0,1.0,0.707107,0.707107,0.587785,-0.809017,59.095761,1.012216,0.001433,51.303213,0.605287,1.8e-05,51.194841,0.644778,0.000278,1.414224,0.300611,,,,,,,,
8,55784152107,NZDUSD,BUY,0.5864,0.58584,2026-03-18 04:02:03.633249,2026-03-18 06:51:05.000000,-560.0,-5.6,SL_HIT,0,,macd_crossover,10.0,0.0,0.0,,169,,,1.39,-1.0,,,,,0.00042,50.0,0,,,,,,OLD,0.000922,0.001281,0.000888,0.001076,0.000956,0.001195,0.585804,0.000915,0.585709,0.001077,0.585772,0.00097,0.584846,0.002555,0.584011,0.003989,0.585841,0.585757,0.585543,5.5e-05,0.001476,0.003015,0.000144,66.117291,59.883407,57.804034,8.4e-05,5e-05,3.4e-05,0.107562,0.095599,0.119527,0.000408,0.000696,0.000418,0.000713,0.000459,0.000782,0.001822,1.091285,0.038385,0.036998,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.774336,0.0,0.002695,0.230485,-0.728175,3.0,2.0,0.0,0.0,1.0,0.707107,0.707107,0.587785,-0.809017,51.785095,-1e-06,0.000359,47.993999,-4e-06,-0.000393,52.165483,1.4e-05,-0.000546,8.098311,3.6e-05,,,,,,,,
7,55783080585,XAUUSD,BUY,5001.74,4994.17,2026-03-18 02:02:03.327397,2026-03-18 06:52:10.000000,-7.57,-757.0,SL_HIT,0,,sma_crossover,0.01,0.0,0.0,,290,,,2.12,-1.0,,,,,5.90313,47.78,0,,,,,TRENDING_BEAR,OLD,0.00033,0.001045,-7.2e-05,-0.000863,-7e-05,-0.000358,5001.967,-8.3e-05,5002.166,-0.000123,5005.1138,-0.000712,5011.5481,-0.001995,5010.0967,-0.001706,5001.592174,5002.908724,5005.512275,-0.000629,-0.001872,-0.000995,-0.000263,49.60277,48.13461,47.775416,-1.31655,-1.370953,0.054403,-0.086299,-0.006997,-0.035776,5.903127,0.00118,6.949383,0.001389,8.140198,0.001628,0.001971,0.437512,0.045591,0.044975,0.616197,1.0,0.288732,0.09507,2.0,0.630651,0.52254,0.483865,-0.001504,0.001645,0.111915,-0.797599,1.0,2.0,0.0,0.0,1.0,0.258819,0.965926,0.587785,-0.809017,46.039393,-0.033026,0.000715,41.273011,0.018386,-0.001116,47.342377,0.482384,-0.000144,2.095217,0.087429,,,,,,,,
9,55784666687,XAUUSD,SELL,4996.37,5005.16,2026-03-18 04:47:04.281218,2026-03-18 07:20:56.000000,-8.79,-879.0,SL_HIT,0,,macd_crossover,0.01,0.0,0.0,,153,,,1.66,-1.0,,,,,7.30404,50.0,0,,,,,TRENDING_BEAR,OLD,-0.001054,-0.002324,-0.003001,-0.001555,-0.000746,-0.000766,5004.389,-0.001596,5003.051,-0.001329,5004.531,-0.001625,5011.2102,-0.002955,5008.68495,-0.002453,5003.255379,5003.408394,5004.904306,-2.8e-05,-0.001628,-0.000829,-3.1e-05,35.547212,42.408141,44.579581,-0.153015,-0.033084,-0.119931,-0.15547,-0.074598,-0.076596,7.465727,0.001494,7.304037,0.001462,7.907448,0.001583,0.003081,0.068493,0.079698,0.062871,0.970534,-1.0,0.022099,0.007366,-3.0,0.002038,0.135862,0.394996,-0.003921,0.000616,0.409221,-0.805115,3.0,2.0,0.0,0.0,1.0,0.707107,0.707107,0.587785,-0.809017,47.405574,0.535847,-0.001272,54.631337,1.000759,-0.000678,59.095761,1.012216,0.001433,-4.997433,-0.655778,,,,,,,,
10,55784990102,NZDUSD,SELL,0.58575,0.58622,2026-03-18 05:17:04.339546,2026-03-18 07:28:34.000000,-470.0,-4.7,SL_HIT,0,,macd_crossover,10.0,0.0,0.0,,131,,,1.66,-1.0,,,,,0.00039,50.0,0,,,,,,OLD,5.1e-05,-0.00058,-0.000563,-0.000751,6.8e-05,0.000803,0.585942,-0.000328,0.585804,-9.1e-05,0.585791,-7e-05,0.584904,0.001446,0.584167,0.00271,0.585882,0.585813,0.585615,0.000257,0.001537,0.00278,0.000119,44.086668,48.860334,50.67243,7e-05,7.8e-05,-8e-06,-0.075061,0.006829,0.080303,0.000357,0.00061,0.00039,0.000665,0.000438,0.000747,0.001822,0.449887,0.037078,0.034422,0.428571,1.0,0.0,0.571429,1.0,0.263158,0.540984,0.513274,-0.001434,0.00169,0.061577,-0.912162,4.0,2.0,0.0,0.0,1.0,0.866025,0.5,0.587785,-0.809017,48.277751,9e-06,-0.000631,55.521372,3.7e-05,1.7e-05,55.353255,4e-05,-0.000273,0.582583,-1.7e-05,,,,,,,,
